Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
346.27,344.56,344.56,0,23639,122.1626,3786.1172,3750.95,7705.06,201.3165,1253,1251,171.4,175.3,291.3,291.9,23.8,23.4,42.0295,42.0295,84.65
378.21,370.8,370.8,0,23395,120.3191,3737.6039,3617.69,7742.63,198.5431,1250,1248,164.7,170.2,299,297.5,23.4,22.3,41.5538,41.5538,84.69
391.26,393.53,393.53,0,23411,119.3359,3729.6868,3632.18,7809.97,199.0821,1252,1249,174,168.2,296.9,296.9,22.1,23.4,41.3377,41.3377,84.6
388.43,388.81,388.81,0,23053,119.3359,3714.6948,3540.53,7693.18,198.8175,1251,1248,170.4,166.4,295,297.3,23,22.7,42.5,42.5,84.56
389.04,389.65,389.65,0,23298,120.5649,3730.1359,3615.12,7788.9,198.7391,1251,1251,171.5,168.6,299,296.4,0,0,43.4633,43.4633,84.92
385.15,383.62,383.62,0,22796,122.5313,3721.8258,3375.37,7707.81,197.5925,1243,1240,162,161.1,299.7,303.2,0,0,44.1687,44.1687,84.47
389.53,389.26,389.26,0,22963,120.442,3709.3044,3316.07,7849.64,196.8722,1253,1228,167.7,152.5,295.3,311.2,22.8,22.7,42.0865,42.0865,83.86
385.86,383.91,383.91,0,23406,122.2855,3791.5637,3478.56,7868.75,201.4439,1247,1228,167.4,160.4,292.9,303.5,23.5,23.4,42.9804,42.9804,83.4
387.4,385.91,385.91,0,23583,118.2298,3761.0744,3725.97,7733.93,201.0225,1254,1250,172.9,171.3,288.9,293.1,23.6,23.5,40.6497,40.6497,83.85
387.51,383.68,383.68,0,23822,118.3527,3811.3845,3754.82,7777.56,202.2524,1254,1252,172.2,172.4,286.8,291.7,23.5,23.2,40.7342,40.7342,83.66
384.27,383.09,383.09,0,23674,120.0733,3811.3845,3727.92,7693.15,201.782,1252,1252,171.9,171.8,286.2,287.1,22.8,22.9,41.0982,41.0982,84.73
383.98,384.74,384.74,0,23618,89.4712,3841.8177,3831.73,7610.73,201.7673,1252,1252,175.8,173.6,288.2,287.8,0,0,20.4341,20.4341,85.82
387.5,388,388,0,23732,60.221,3889.4326,3729.29,7730.37,202.1936,1252,1253,173.1,175.1,293,289.7,0,0,0,0,85.19
379.2,379.9,379.9,0,23922,116.2634,3831.9353,3785.73,7772.42,202.1397,1253,1253,173.5,172.8,292.7,290.9,22.9,23.6,38.4066,38.4066,85.79
381.18,381.89,381.89,0,23834,120.3191,3810.6546,3756.53,7764.49,201.3214,1254,1251,172.7,174,290.8,288.7,23.5,23.7,41.1235,41.1235,86.31
386.91,382.83,382.83,0,14120,73.6171,2363.8456,2148.77,4657.78,122.7891,1249,1164,384.3,382,647.3,672.9,22.2,23,42.5965,42.5965,87.6
382.93,372.96,372.96,0,20197,94.7559,3237.6471,2928.12,6822.21,174.9545,1251,1163,170.8,138.4,290.4,310.1,23.3,22.5,40.3273,40.3273,89.08
379.33,369.5,369.5,0,23501,120.1962,3798.1332,3513.19,7854.25,200.1454,1247,1235,165.5,156.9,292.4,298.8,22.7,23,42.9647,42.9647,88.2
